,,Energy Produced in each Sea State over 700s (kW),,,,,,,,,,,,,,,Passive Results,,,,,,,,,,
Significant Wave Height (m),0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,31.56,34.55,35.14,34.51,33.02,30.96,28.56,25.97,23.42,21.03,18.84,,,,0.5,12.02,15.57,16.36,15.52,14.19,13.27,12.7,12.19,11.44,10.16,8.06
,1,102.75,116.42,121.19,120.62,116.5,109.64,101.05,91.55,82.04,73.17,65.32,,,,1,48.09,62.3,65.45,62.1,56.77,53.08,50.8,48.75,45.76,40.65,32.26
,1.5,219.05,248.52,259.45,259.47,250.16,234.52,214.89,193.66,172.57,152.97,135.49,,,,1.5,108.2,140.17,147.27,139.71,127.74,119.44,114.3,109.68,102.95,91.46,72.58
,2,380.75,432.62,450.66,443.98,423.38,392.62,357,319.74,283.17,250.05,220.73,,,,2,192.36,249.19,261.81,248.38,227.1,212.33,203.19,194.99,183.03,162.6,129.03
,2.5,590.03,668.02,686.48,664.35,624.97,574.78,519.92,463.56,408.79,359.41,316.21,,,,2.5,300.56,389.37,409.07,388.1,354.84,331.77,317.49,304.67,285.98,254.07,201.6
,3,845.95,946.5,953.66,911.75,850.75,776.12,699.12,621.52,546.76,479.73,421.32,,,,3,432.81,560.69,589.07,558.86,510.97,477.75,457.19,438.73,411.81,365.86,290.31
,3.5,1144.9,1255.6,1249.7,1181.9,1094.8,993.61,892.39,792.31,696.66,610.53,535.6,,,,3.5,589.1,763.16,801.78,760.76,695.49,650.26,622.28,597.16,560.52,497.97,395.14
,4,1478,1588.9,1566.7,1471.9,1354.4,1225.6,1099.7,975.43,856.59,750.28,657.91,,,,4,769.44,996.77,1047.23,993.52,908.4,849.33,812.78,779.96,732.1,650.41,516.1
,4.5,1837.1,1945.7,1900.9,1778.4,1628.8,1471.3,1318.5,1166.7,1024.7,897.96,787.15,,,,4.5,973.82,1261.77,1325.4,1257.43,1149.69,1074.93,1028.67,987.14,926.57,823.18,653.19
,5,2221.4,2325.7,2257.4,2100,1915.9,1726.2,1545.3,1364.3,1197.9,1050.7,921.89,,,,5,1202.24,1557.46,1636.29,1552.38,1419.37,1327.07,1269.96,1218.69,1143.91,1016.27,806.41
,5.5,2628.2,2728.5,2634.6,2436.3,2214,1989.7,1775.2,1566,1375.6,1207.4,1059.7,,,,5.5,1454.72,1884.53,1979.91,1878.38,1717.44,1605.76,1536.65,1474.62,1384.13,1229.68,975.76
,6,3059.9,3153.2,3028,2784.1,2522.5,2258.7,2007.1,1769.3,1555.7,1366.6,1199.1,,,,6,1731.23,2242.74,2356.26,2235.43,2043.89,1910.98,1828.75,1754.92,1647.23,1463.43,1161.23
,6.5,3514.4,3598.1,3435.5,3142.5,2835.6,2530.6,2241.3,1975.4,1738.2,1527.8,1341.8,,,,6.5,2031.79,2632.11,2765.33,2623.53,2398.74,2242.75,2146.24,2059.59,1933.21,1717.49,1362.84
